printer_string,printer_shortname,notes,books_on_workbench,workbench_set,export_cdt,group_ID,books_in_libraries
"""Cole, Peter (cni00032399)""",cole,,10,y,https://printprobdb.psc.edu/api/character_groupings/11271f73-15cf-4b20-87fc-f511cab4c01f/download/,11271f73-15cf-4b20-87fc-f511cab4c01f,
"""Everingham, Robert (cni00007207)""",everingham,,10,y,https://printprobdb.psc.edu/api/character_groupings/e822db51-ff8d-40db-a201-8f4b70bb522a/download/,e822db51-ff8d-40db-a201-8f4b70bb522a,
"""Gain, John (BBTI: 26651)""",jgaines,,10,y,https://printprobdb.psc.edu/api/character_groupings/ee5b4169-da28-4f0f-b2f3-6dcf8fc54ed9/download/,ee5b4169-da28-4f0f-b2f3-6dcf8fc54ed9,
"""Hayes, John (cni00091747)""",jhayes,hayes,10,y,https://printprobdb.psc.edu/api/character_groupings/f273df8b-950a-41aa-a401-1741e45e6477/download/,f273df8b-950a-41aa-a401-1741e45e6477,
"""Jones, Edward (fl. 1684-1705)""",ejones,,10,y,https://printprobdb.psc.edu/api/character_groupings/74d9cdbd-28f4-46ba-8a00-c96fa6566893/download/,74d9cdbd-28f4-46ba-8a00-c96fa6566893,
"""Larkin, George (cnp01340470)""",glarkin,glarkini,10,y,https://printprobdb.psc.edu/api/character_groupings/dffabcec-dc8f-4c84-806a-f78dc6dcab77/download/,dffabcec-dc8f-4c84-806a-f78dc6dcab77,
"""Ratcliffe, Thomas (BBTI: 56789)""",tratcliffe,ratcliffe,10,y,https://printprobdb.psc.edu/api/character_groupings/7fbfafa4-7ec6-4162-b136-7dbcc3862908/download/,7fbfafa4-7ec6-4162-b136-7dbcc3862908,
"""Richardson, John (1673-1703)""",jrichardson,,10,y,https://printprobdb.psc.edu/api/character_groupings/ad544734-db62-4d22-b119-d5271fb49937/download/,ad544734-db62-4d22-b119-d5271fb49937,
"""Everingham, Richard""",rieveringham,,10,y,https://printprobdb.psc.edu/api/character_groupings/e822db51-ff8d-40db-a201-8f4b70bb522a/download/,e822db51-ff8d-40db-a201-8f4b70bb522a,
"""Baldwin, Richard (cni00039898)""",rbaldwin,cni00039898,9,y,https://printprobdb.psc.edu/api/character_groupings/7ffacebb-01d5-46d3-9056-4c7f5468c1c1/download/,7ffacebb-01d5-46d3-9056-4c7f5468c1c1,
"""Braddyll, Thomas (cni00030486)""",tbraddyll,,9,y,https://printprobdb.psc.edu/api/character_groupings/479974b9-c890-4b0c-93f1-67d19bf25c7b/download/,479974b9-c890-4b0c-93f1-67d19bf25c7b,
"""Leake, John (cni00105771)""",jleake,,9,y,https://printprobdb.psc.edu/api/character_groupings/cd104c6d-dfa6-4e37-a7c4-e8d1e403d37c/download/,cd104c6d-dfa6-4e37-a7c4-e8d1e403d37c,
"""Roberts, Robert (cni00033906)""",rroberts,,9,y,https://printprobdb.psc.edu/api/character_groupings/26dde26f-bddd-4b87-a52f-8da1e15b350b/download/,26dde26f-bddd-4b87-a52f-8da1e15b350b,
"""Sowle, Andrew""",asowle,,9,y,https://printprobdb.psc.edu/api/character_groupings/99a428fc-6f99-41d0-9b49-2b96f796832f/download/,99a428fc-6f99-41d0-9b49-2b96f796832f,
"""Tyler, Evan (cni00007820)""",etyler,,9,y,https://printprobdb.psc.edu/api/character_groupings/1d49f402-f974-4fa3-b082-f43b3f993fa2/download/,1d49f402-f974-4fa3-b082-f43b3f993fa2,
"""Macock, John""",macock,,8,y,https://printprobdb.psc.edu/api/character_groupings/c075de77-e585-4bc1-8c52-0a7ee3290ce3/download/,c075de77-e585-4bc1-8c52-0a7ee3290ce3,
"""Maxwell, Anne (cni00100183)""",amaxwell,,8,y,https://printprobdb.psc.edu/api/character_groupings/0bbfbb03-56e9-4e09-923d-513deb2889d4/download/,0bbfbb03-56e9-4e09-923d-513deb2889d4,
"""Norton, Roger (cni00022421)""",norton,,8,y,https://printprobdb.psc.edu/api/character_groupings/aa9a837e-1b0f-4670-a78d-53a6a22f11c5/download/,aa9a837e-1b0f-4670-a78d-53a6a22f11c5,
"""Roycroft, Samuel (cni00027829)""",sroycroft,,8,y,https://printprobdb.psc.edu/api/character_groupings/e46d9fa4-0a26-45f9-8165-7de1fb65cf75/download/,e46d9fa4-0a26-45f9-8165-7de1fb65cf75,
"""Warren, Thomas (fl. 1693-1707?)""",twarreniii,twarreniii,8,y,https://printprobdb.psc.edu/api/character_groupings/abd621b0-7287-4220-b3bc-230ba2320af5/download/,abd621b0-7287-4220-b3bc-230ba2320af5,
"""Croom, George (cni00033744)""",gcroom,,7,y,https://printprobdb.psc.edu/api/character_groupings/a2e8bb75-30ab-48c3-a0d7-ee2cd46bcc4c/download/,a2e8bb75-30ab-48c3-a0d7-ee2cd46bcc4c,
"""Darby, John (cni00027943)""",jdarby,darby,7,y,https://printprobdb.psc.edu/api/character_groupings/bb68eb6f-9e62-4326-bc2c-0cfbc9264c5f/download/,bb68eb6f-9e62-4326-bc2c-0cfbc9264c5f,
"""Hodgkin, Thomas (cni00031322)""",thodgkin,"""Thomas Hodgkin"" on workbench",7,y,https://printprobdb.psc.edu/api/character_groupings/de560de3-94a1-4355-8e56-dfd945c6ecd5/download/,de560de3-94a1-4355-8e56-dfd945c6ecd5,
"""Mabb, Thomas (cni00010368)""",tmabb,,7,y,https://printprobdb.psc.edu/api/character_groupings/0d22a678-7b81-498a-9c5f-0d22f1cd0f06/download/,0d22a678-7b81-498a-9c5f-0d22f1cd0f06,
"""Simmons, Matthew""",simmons,,7,y,https://printprobdb.psc.edu/api/character_groupings/e48f9e24-c5e7-477f-bf73-72a539f6545e/download/,e48f9e24-c5e7-477f-bf73-72a539f6545e,
"""Collins, Freeman (cnp01334215)""",fcollins,,6,y,https://printprobdb.psc.edu/api/character_groupings/f23fb2a7-8996-4402-b04d-a6bf437385cf/download/,f23fb2a7-8996-4402-b04d-a6bf437385cf,
"""Daniel, Roger (cni00022251)""",rdaniel,,6,y,https://printprobdb.psc.edu/api/character_groupings/fd193b55-b438-4d0b-8507-18425e88a345/download/,fd193b55-b438-4d0b-8507-18425e88a345,
"""Hills, Henry, Sr. (cnp01338081)""",hhillssr,,6,y,https://printprobdb.psc.edu/api/character_groupings/09360a8c-bf6f-46a4-a3ff-4e72dfe8d847/download/,09360a8c-bf6f-46a4-a3ff-4e72dfe8d847,
"""Holt, Ralph (cni00026018)""",rholt,,6,y,https://printprobdb.psc.edu/api/character_groupings/b07e00cf-809f-42c0-a172-19fefefc4fb4/download/,b07e00cf-809f-42c0-a172-19fefefc4fb4,
"""James, Thomas (cni00030731)""",tjames,,6,y,https://printprobdb.psc.edu/api/character_groupings/5a053451-3dd1-44a9-bb09-2fb936597ffd/download/,5a053451-3dd1-44a9-bb09-2fb936597ffd,
"""Matthews, John""",jmatthews,,6,y,https://printprobdb.psc.edu/api/character_groupings/c29845ec-9ca9-41cb-8bbd-2f16911195e7/download/,c29845ec-9ca9-41cb-8bbd-2f16911195e7,
"""Rawlins, William (cni00034449)""",rawlins,"""W Rawlins"" in Workbench",6,y,https://printprobdb.psc.edu/api/character_groupings/020782f3-920d-4fed-8046-09de643c7378/download/,020782f3-920d-4fed-8046-09de643c7378,
"""Thompson, Mary (BBTI: 69144)""",mthompson,,6,y,https://printprobdb.psc.edu/api/character_groupings/3290eb29-c3f1-4df5-9a9e-506c5e9ff525/download/,3290eb29-c3f1-4df5-9a9e-506c5e9ff525,
"""White, Robert (cnp01950418)""",white,rwhite,6,y,https://printprobdb.psc.edu/api/character_groupings/a4ca6211-be6c-4a3a-9d9f-4ac8bdbdc7b8/download/,a4ca6211-be6c-4a3a-9d9f-4ac8bdbdc7b8,
"""Wilson, William (cni00022543)""",wilson,,6,y,https://printprobdb.psc.edu/api/character_groupings/659d607d-7d94-4bbc-a29b-5b65ce69375a/download/,659d607d-7d94-4bbc-a29b-5b65ce69375a,
"""Astwood, John""",jastwood,,5,y,https://printprobdb.psc.edu/api/character_groupings/703c6e63-3438-4654-8cc5-43d946e367b5/download/,703c6e63-3438-4654-8cc5-43d946e367b5,
"""Bell, Jane""",jbell,,5,y,https://printprobdb.psc.edu/api/character_groupings/9d59c7bd-55b8-4224-94f7-a349d7d79b15/download/,9d59c7bd-55b8-4224-94f7-a349d7d79b15,
"""Bringhurst, John (BBTI:9183)""",jbringh,,5,y,https://printprobdb.psc.edu/api/character_groupings/ff212791-89e1-4254-9f0c-24ae8ef62df4/download/,ff212791-89e1-4254-9f0c-24ae8ef62df4,
"""Clark, Henry (cnp00147029)""",hclark,,5,y,https://printprobdb.psc.edu/api/character_groupings/c08c75b0-6016-48ff-9f72-910745f40504/download/,c08c75b0-6016-48ff-9f72-910745f40504,
"""Dover, Simon""",sdover,,5,y,https://printprobdb.psc.edu/api/character_groupings/c8e8d123-dc52-48f5-96f9-5f656d4c648b/download/,c8e8d123-dc52-48f5-96f9-5f656d4c648b,
"""Godbid, William (cni00027703)""",wgodbid,,5,y,https://printprobdb.psc.edu/api/character_groupings/789fc0e9-0485-472f-b61b-d6301d588781/download/,789fc0e9-0485-472f-b61b-d6301d588781,
"""Griffin, Bennet (cni00034501)""",bgriffin,,5,y,https://printprobdb.psc.edu/api/character_groupings/c68be83a-ab96-4e66-839b-3b1e95a80c66/download/,c68be83a-ab96-4e66-839b-3b1e95a80c66,
"""Heptinstall, John""",jheptinstall,"""John Hepinstall"" in workbench",5,y,https://printprobdb.psc.edu/api/character_groupings/5a58dcd9-2a05-49a2-8393-8a137da70323/download/,5a58dcd9-2a05-49a2-8393-8a137da70323,
"""Leach, Francis""",fleachjr,,5,y,https://printprobdb.psc.edu/api/character_groupings/acccd4eb-cbaf-4054-9d4a-9d7b1b702436/download/,acccd4eb-cbaf-4054-9d4a-9d7b1b702436,
"""Leach, Thomas (cnp01953095)""",tleach,leach,5,y,https://printprobdb.psc.edu/api/character_groupings/d1e89ee9-01e6-48aa-bc5d-ac7e9a49f18a/download/,d1e89ee9-01e6-48aa-bc5d-ac7e9a49f18a,
"""Milbourn, Thomas (BBTI: 47182)""",tmilbourn,arrested 1686,5,y,https://printprobdb.psc.edu/api/character_groupings/ac3914dd-061c-4b44-a280-96bd3704197c/download/,ac3914dd-061c-4b44-a280-96bd3704197c,
"""Newcomb, Thomas (cni00050851)""",newcomb,,5,y,https://printprobdb.psc.edu/api/character_groupings/e1cebc86-6ccd-4109-9b42-3f829b3bd0e8/download/,e1cebc86-6ccd-4109-9b42-3f829b3bd0e8,
"""Playford, John""",jplayfordii,,5,y,https://printprobdb.psc.edu/api/character_groupings/ce59bc43-6cca-44e0-9b5a-61a311c6be0d/download/,ce59bc43-6cca-44e0-9b5a-61a311c6be0d,
"""Clark, Henry""",hclark,,5,y,https://printprobdb.psc.edu/api/character_groupings/c08c75b0-6016-48ff-9f72-910745f40504/download/,c08c75b0-6016-48ff-9f72-910745f40504,
"""Bennet, Joseph""",jbennet,,4,y,https://printprobdb.psc.edu/api/character_groupings/867a84a0-69f4-4537-9169-6c9736371eb5/download/,867a84a0-69f4-4537-9169-6c9736371eb5,
"""Cotes, Ellen""",ecotes,,4,y,https://printprobdb.psc.edu/api/character_groupings/a4c30e1b-89cb-48ae-9c90-6a4b261286a3/download/,a4c30e1b-89cb-48ae-9c90-6a4b261286a3,
"""Downing, William (bbti: 20783)""",wdowning,,4,y,https://printprobdb.psc.edu/api/character_groupings/868974f8-1cb5-429b-80dc-948d72cf1e70/download/,868974f8-1cb5-429b-80dc-948d72cf1e70,
"""Griffin, Sarah""",sgriffin,,4,y,https://printprobdb.psc.edu/api/character_groupings/f7454b65-366b-4301-a524-a43a3213dfea/download/,f7454b65-366b-4301-a524-a43a3213dfea,
"""Hills, Henry, Jr. (cnp01338085)""",hhillsjr,,4,y,https://printprobdb.psc.edu/api/character_groupings/2f1d500d-0439-4261-b3aa-5f323e5bc33b/download/,2f1d500d-0439-4261-b3aa-5f323e5bc33b,
"""Miller, Abraham (cni00022407)""",abemiller,,4,y,https://printprobdb.psc.edu/api/character_groupings/2f3c2e49-09ca-432b-a865-3f75ea8d26c1/download/,2f3c2e49-09ca-432b-a865-3f75ea8d26c1,
"""Newcomb, Thomas, Jr. (cni00071448)""",newcombjr,,4,y,https://printprobdb.psc.edu/api/character_groupings/ab4602de-98d8-43eb-898f-505fe5900232/download/,ab4602de-98d8-43eb-898f-505fe5900232,
"""Rawlins, James""",jrawlins,"""J. Rawlins"" in Workbench",4,y,https://printprobdb.psc.edu/api/character_groupings/897a62d7-a689-4086-8707-40876dc96d10/download/,897a62d7-a689-4086-8707-40876dc96d10,
"""Raworth, John""",jraworth,,4,y,https://printprobdb.psc.edu/api/character_groupings/1f3649bc-c1fb-4f7a-a1e3-f2dc3d15bda4/download/,1f3649bc-c1fb-4f7a-a1e3-f2dc3d15bda4,
"""Moxon, Joseph""",josephmoxon,,4,y,https://printprobdb.psc.edu/api/character_groupings/75581a6c-c7ee-42d8-bfdf-31febe5e0b7d/download/,75581a6c-c7ee-42d8-bfdf-31febe5e0b7d,
"""Mathewes, Augustine""",augmathewes,,4,y,https://printprobdb.psc.edu/api/character_groupings/4cfa1214-6975-4cf0-9eca-de882bf30375/download/,4cfa1214-6975-4cf0-9eca-de882bf30375,
"""Clark, Mary (cni00035338)""",mclark,,3,y,https://printprobdb.psc.edu/api/character_groupings/587af995-2918-4d0e-a991-ed7e0e00336f/download/,587af995-2918-4d0e-a991-ed7e0e00336f,
"""Coe, Andrew""",acoe,,3,y,https://printprobdb.psc.edu/api/character_groupings/46d25903-c35a-443d-b477-0865f50ef7c6/download/,46d25903-c35a-443d-b477-0865f50ef7c6,
"""Darby, John""",jdarbyii,1699-1707,3,y,https://printprobdb.psc.edu/api/character_groupings/aad1f38b-938c-431a-91e6-cd0e1cdbc338/download/,aad1f38b-938c-431a-91e6-cd0e1cdbc338,
"""Dawks, Ichabod (cni00033248)""",idawks,,3,y,https://printprobdb.psc.edu/api/character_groupings/56da2be1-3813-41e7-9ad0-c87371764236/download/,56da2be1-3813-41e7-9ad0-c87371764236,
"""Dawson, Gartrude (cni00008192)""",gdawson,,3,y,https://printprobdb.psc.edu/api/character_groupings/48473219-ec7d-4305-bc85-d407487f065f/download/,48473219-ec7d-4305-bc85-d407487f065f,
"""Grismond, John""",jgrismond,,3,y,https://printprobdb.psc.edu/api/character_groupings/c920ac1b-8867-4388-9d47-254a0369a76f/download/,c920ac1b-8867-4388-9d47-254a0369a76f,
"""Grover, James""",jgrover,,3,y,https://printprobdb.psc.edu/api/character_groupings/6a21a976-995a-4883-befd-2686a0d7812b/download/,6a21a976-995a-4883-befd-2686a0d7812b,
"""Hodgkinson, Richard (cni00047179)""",hodgkinson,rhodgkinson,3,y,https://printprobdb.psc.edu/api/character_groupings/7c6b013c-d32e-4bc4-9786-03fbc801e1bb/download/,7c6b013c-d32e-4bc4-9786-03fbc801e1bb,
"""Holt, Elizabeth""",eholt,,3,y,https://printprobdb.psc.edu/api/character_groupings/746eae92-7ea4-473a-8f00-ed39c58b58fd/download/,746eae92-7ea4-473a-8f00-ed39c58b58fd,
"""Ibbitson, Robert (cni00085328)""",ribbitson,,3,y,https://printprobdb.psc.edu/api/character_groupings/6ab32210-d433-4467-8985-1d725dfc0856/download/,6ab32210-d433-4467-8985-1d725dfc0856,
"""Ilive, Thomas (cni00026617)""",ilive,,3,y,https://printprobdb.psc.edu/api/character_groupings/efab7a13-8ffd-4b9e-be9c-550994164dda/download/,efab7a13-8ffd-4b9e-be9c-550994164dda,
"""Lilliecrap, Peter""",plillicrap,,3,y,https://printprobdb.psc.edu/api/character_groupings/98a2bbf4-91f4-4de1-bc32-6a46080f8442/download/,98a2bbf4-91f4-4de1-bc32-6a46080f8442,
"""Raworth, Ruth""",rraworth,,3,y,https://printprobdb.psc.edu/api/character_groupings/d3f56797-5eef-4fd2-a533-11f22a651dc0/download/,d3f56797-5eef-4fd2-a533-11f22a651dc0,
"""Ray, Joseph""",jray,,3,y,https://printprobdb.psc.edu/api/character_groupings/af82654c-654e-4505-9e06-5e1dcbe4abd1/download/,af82654c-654e-4505-9e06-5e1dcbe4abd1,
"""Redmayne, John""",jredmayneii,,3,y,https://printprobdb.psc.edu/api/character_groupings/88f95acc-18df-4e91-ae61-45ea0e448686/download/,88f95acc-18df-4e91-ae61-45ea0e448686,
"""Redmayne, William (cnp00046668)""",wredmayne,,3,y,https://printprobdb.psc.edu/api/character_groupings/74b809ee-9447-435e-983d-9b804f0c7cc4/download/,74b809ee-9447-435e-983d-9b804f0c7cc4,
"""Thompson, Nathaniel (cni00039136)""",nthompson,,3,y,https://printprobdb.psc.edu/api/character_groupings/3290eb29-c3f1-4df5-9a9e-506c5e9ff525/download/,3290eb29-c3f1-4df5-9a9e-506c5e9ff525,
"""Tookey, Robert""",rtookey,,3,y,https://printprobdb.psc.edu/api/character_groupings/62283a74-f84f-4964-b1d4-f30fb14c103a/download/,62283a74-f84f-4964-b1d4-f30fb14c103a,
"""Wallis, John""",jwallis,,3,y,https://printprobdb.psc.edu/api/character_groupings/7dac1119-26ff-4bfa-9fb9-5b4ca93ea91a/download/,7dac1119-26ff-4bfa-9fb9-5b4ca93ea91a,
"""Wilde, William""",wwilde,,3,y,https://printprobdb.psc.edu/api/character_groupings/e87e24eb-ac5f-4f63-91be-d565118a41ba/download/,e87e24eb-ac5f-4f63-91be-d565118a41ba,
"""Hearne,  Richard""",hearne,,3,y,https://printprobdb.psc.edu/api/character_groupings/7f549696-036e-4619-a3e7-f22a07126905/download/,7f549696-036e-4619-a3e7-f22a07126905,
"""Dover, Joan""",joandover,,3,y,https://printprobdb.psc.edu/api/character_groupings/c8e8d123-dc52-48f5-96f9-5f656d4c648b/download/,c8e8d123-dc52-48f5-96f9-5f656d4c648b,
"""Martyn, John""",jmartyn,,3,y,https://printprobdb.psc.edu/api/character_groupings/640d52b4-f36e-45fd-8c57-14ad4074bf96/download/,640d52b4-f36e-45fd-8c57-14ad4074bf96,
